timestamp,open,high,low,close,volume
1771196400,24789.25,24834.25,24766.25,24775.75,7047
1771196700,24776,24780,24754.25,24770.75,3775
1771197000,24770.75,24799.75,24769,24799.75,3269
1771197300,24798.5,24826,24794.75,24821,4287
1771197600,24820.75,24824.5,24804.5,24819,2767
1771197900,24819.5,24830.5,24814.75,24818,2393
1771198200,24818.25,24831.25,24803.5,24807.5,2797
1771198500,24808.75,24820.5,24797.25,24801,2427
1771198800,24801.75,24822,24801.75,24817.5,2074
1771199100,24817.5,24820.25,24805,24809.75,1782
1771199400,24810.75,24820,24793,24807.75,2772
1771199700,24807.5,24839.5,24799.5,24836.25,3860
1771200000,24836.25,24843,24810.75,24814,6278
1771200300,24815,24846,24809.25,24840.5,3417
1771200600,24840.5,24848,24833,24840.5,2484
1771200900,24841.25,24847,24835.25,24835.75,1629
1771201200,24837,24839.75,24828.75,24831.25,1731
1771201500,24830.25,24844,24826.25,24839.5,1699
1771201800,24839.5,24845.25,24836,24841.25,1156
1771202100,24839.75,24849,24834,24842,1529
1771202400,24842.25,24846,24831.75,24832.75,1027
1771202700,24833.5,24843.25,24830.5,24836.75,1301
1771203000,24837.5,24848,24834,24843.75,1335
1771203300,24844.75,24847,24827.5,24834.75,1560
1771203600,24834.5,24837,24821.75,24831.5,2009
1771203900,24831.25,24847.25,24831,24838,1610
1771204200,24838,24844.25,24831.5,24832.25,1386
1771204500,24832.25,24839.5,24831,24837.25,1121
1771204800,24837,24838,24832.25,24836.25,599
1771205100,24836.75,24842.75,24832.5,24834.25,1063
1771205400,24834.5,24839.5,24832.25,24838.5,1196
1771205700,24837.5,24838.25,24831.25,24833,555
1771206000,24832,24843,24827,24837.5,1248
1771206300,24837.75,24853.25,24832.75,24848,1620
1771206600,24848.5,24859,24842.5,24857.75,2015
1771206900,24858.25,24868.75,24856,24860.25,2567
1771207200,24860.5,24872.5,24855,24871.25,1788
1771207500,24871.25,24872.5,24848,24848.5,2105
1771207800,24848.25,24848.75,24838.75,24845.25,2267
1771208100,24846.5,24853.75,24844,24846.75,1504
1771208400,24845.5,24853.75,24836.75,24852.5,1703
1771208700,24852,24853.5,24840.75,24844.25,1102
1771209000,24843.25,24850.25,24840.5,24841.75,815
1771209300,24841.75,24847.75,24838.25,24842.5,990
1771209600,24841.75,24847,24838.25,24842.25,716
1771209900,24842.25,24844.75,24838.25,24840,622
1771210200,24840,24840.5,24828,24830.25,1771
1771210500,24829.75,24834.25,24827,24831.25,1023
1771210800,24831.25,24835.5,24823.75,24827.25,1395
1771211100,24826.5,24835,24826,24831,788
1771211400,24830.75,24834.25,24829,24830.75,539
1771211700,24830,24832.75,24825.5,24827.5,532
1771212000,24827,24836.5,24825.25,24832.75,1090
1771212300,24832,24832.75,24814.75,24816.75,2484
1771212600,24816.75,24820,24808.75,24814.25,2049
1771212900,24814,24819,24810.75,24816,1006
1771213200,24815.5,24816.25,24808.25,24814,1113
1771213500,24814.75,24818,24810.75,24814.5,840
1771213800,24814.75,24824,24812.25,24819.5,1193
1771214100,24819.5,24825,24818.5,24824,820
1771214400,24823.5,24839,24822,24836,2214
1771214700,24836.25,24838.25,24823.5,24824.5,1630
1771215000,24824.5,24831.75,24822.25,24829,1196
